artist;song;duration_ms;year;tempo;genre;energy;key;loudness
Drake;Forever;357706;2009;104.02;hip hop, pop, R&B;0.906;5;-2.278
Maroon 5;Girls Like You (feat. Cardi B) - Cardi B Version;235545;2018;124.959;pop;0.541;0;-6.825
Craig David;7 Days;235133;2000;83.014;hip hop, pop, R&B;0.812;4;-7.499
Nicki Minaj;Pound The Alarm;205640;2012;125.055;hip hop, pop;0.858;9;-3.686
Ja Rule;Mesmerize;278693;2002;90.079;hip hop, pop, R&B;0.646;1;-6.653
David Guetta;Lovers on the Sun (feat. Sam Martin);203520;2014;124.915;hip hop, pop, Dance/Electronic;0.891;6;-2.505
Zara Larsson;Ain't My Fault;224030;2017;141.153;pop, Dance/Electronic;0.782;6;-4.825
Da Brat;What'chu Like (feat. Tyrese);221160;2000;99.974;hip hop, pop, R&B;0.681;10;-8.951
Galantis;Runaway (U & I);227073;2015;126.008;pop, Dance/Electronic;0.805;1;-4.119
Fergie;Clumsy;240426;2006;184.009;pop, R&B;0.563;2;-4.046
KT Tunstall;Suddenly I See;201706;2005;100.38;World/Traditional, pop, Folk/Acoustic;0.767;0;-5.713
LL Cool J;Luv U Better;287000;2002;95.022;hip hop, pop, R&B;0.806;6;-3.9
Justin Bieber;Baby;214240;2010;65.043;pop;0.859;5;-5.237
Anne-Marie;Ciao Adios;200104;2017;106.083;pop, Dance/Electronic;0.882;4;-3.078
Ariana Grande;The Way;227026;2013;82.324;pop;0.878;5;-3.208
Katy Perry;Part Of Me;216160;2012;130.028;pop;0.918;5;-4.63
Baby Bash;Suga Suga;239026;2003;82.331;hip hop, pop, R&B, latin;0.748;5;-3.041
Destiny's Child;Say My Name;271333;1999;138.009;pop, R&B;0.678;5;-3.525
AlunaGeorge;I'm In Control;209425;2016;104.013;pop, Dance/Electronic;0.847;11;-3.713
Missy Elliott;Lose Control (feat. Ciara & Fat Man Scoop);226863;2005;125.461;hip hop, pop, R&B;0.813;4;-7.105
Arctic Monkeys;I Bet You Look Good On The Dancefloor;173680;2006;103.183;rock;0.948;6;-4.19
Flume;Never Be Like You;233337;2016;116.838;Dance/Electronic;0.558;0;-5.436
Lil Tecca;Ransom;131240;2019;179.974;hip hop;0.642;7;-6.257
Post Malone;Better Now;231266;2018;145.038;hip hop;0.578;10;-5.804
John Legend;All of Me;269560;2013;119.93;pop, R&B;0.264;8;-7.064
Ariana Grande;no tears left to cry;205920;2018;121.993;pop;0.713;9;-5.507
Kanye West;Good Life;207000;2007;82.962;hip hop;0.808;1;-6.881
Basshunter;Now You're Gone - Video Edit;148186;2008;147.99;pop;0.976;1;-5.503
Gwen Stefani;The Sweet Escape;246466;2006;119.961;pop, R&B;0.77;1;-3.502
Keyshia Cole;Love;255333;2005;116.714;hip hop, pop, R&B;0.519;5;-4.285
Sheppard;Geronimo;218227;2014;142.016;pop, rock, Dance/Electronic;0.771;7;-6.275
Dean Lewis;Be Alright;196373;2018;126.684;pop;0.586;11;-6.319
DJ Snake;Taki Taki (with Selena Gomez, Ozuna & Cardi B);212500;2018;95.881;hip hop, pop, Dance/Electronic;0.801;8;-4.167
JAY-Z;Run This Town;267520;2009;86.844;hip hop;0.924;1;-1.802
Nelly;Grillz;271160;2005;82.996;hip hop, pop, R&B;0.504;4;-7.737
Eminem;Sing For The Moment;339546;2002;163.961;hip hop;0.824;5;-4.164
Emeli Sandé;Read All About It, Pt. III;283706;2012;98.082;pop, R&B;0.44;2;-7.186
MiMS;This Is Why I'm Hot;253706;2007;80.021;hip hop, pop;0.6;8;-6.349
Eminem;Stan;404106;2000;80.063;hip hop;0.768;6;-4.325
Tamia;Stranger in My House;285386;2000;119.94;pop, R&B;0.601;0;-4.905
Atomic Kitten;Whole Again;185013;2001;94.019;pop;0.706;4;-4.653
Hoobastank;The Reason;232800;2003;82.952;pop, rock, metal;0.671;4;-4.649
Razorlight;America;249760;2006;90.933;rock, pop;0.568;2;-4.975
Lil Wayne;A Milli;221840;2008;151.486;hip hop, pop;0.695;6;-8.636
WILLOW;Wait a Minute!;196520;2015;101.003;pop, R&B, Dance/Electronic;0.705;3;-5.279
Backstreet Boys;Shape of My Heart;230093;2000;96.102;pop;0.786;9;-4.353
Hot Chelle Rae;Tonight Tonight;200466;2011;99.978;hip hop, pop, rock;0.783;4;-4.977
Alan Walker;Faded;212106;2018;179.642;Dance/Electronic;0.627;6;-5.085
The Wanted;Chasing The Sun;198800;2012;128.108;pop, Dance/Electronic;0.732;7;-6.209
Rihanna;We Found Love;215226;2011;127.985;hip hop, pop, R&B;0.766;1;-4.485
Boys Like Girls;Love Drunk;226706;2009;150.005;pop;0.976;10;-3.17
Chris Brown;Yo (Excuse Me Miss);229040;2005;86.768;hip hop, pop, R&B;0.612;4;-5.847
Future;Low Life (feat. The Weeknd);313546;2016;143.961;hip hop, pop;0.331;8;-7.789
Justin Timberlake;LoveStoned / I Think She Knows (Interlude);444333;2006;121.243;pop;0.681;1;-6.247
Sean Kingston;Beautiful Girls;225373;2007;130.009;hip hop, pop, R&B;0.661;1;-6.075
Dirty Vegas;Days Go By;432146;2002;126.99;Dance/Electronic;0.853;9;-8.274
Selena Gomez;Good For You;221560;2015;88.928;pop;0.676;5;-6.447
Craig David;Fill Me In;257200;2000;132.493;hip hop, pop, R&B;0.744;8;-6.981
Ylvis;The Fox (What Does the Fox Say?);213708;2013;128.008;hip hop;0.867;6;-4.292
Rihanna;Umbrella;275986;2008;174.028;hip hop, pop, R&B;0.829;1;-4.603
Wyclef Jean;Sweetest Girl (Dollar Bill) (feat. Akon, Lil' Wayne & Niia);241133;2007;92.515;set();0.744;1;-3.51
Jonas Blue;Fast Car;212424;2015;113.901;pop, Dance/Electronic;0.587;9;-6.983
Lenny Kravitz;Again;231666;2000;79.166;rock, pop;0.804;2;-5.218
Ray J;Sexy Can I feat. Yung Berg;204040;2008;172.155;hip hop, pop, R&B;0.684;1;-6.007
LL Cool J;Headsprung;267320;2004;99.916;hip hop, pop, R&B;0.786;0;-5.76
The Fray;How to Save a Life;262533;2005;122.035;pop;0.743;10;-4.08
Trillville;Some Cut;283454;2004;84.995;hip hop, pop;0.515;1;-6.626
Capital Cities;Safe And Sound;192693;2013;117.952;pop;0.783;0;-4.829
Kings of Leon;Sex on Fire;203346;2008;153.398;rock;0.905;9;-5.653
Madonna;Die Another Day;276360;2003;123.993;pop;0.797;0;-5.166
Kygo;Firestone;271640;2016;113.927;pop, Dance/Electronic;0.634;11;-7.374
Disclosure;Latch;255631;2013;121.985;pop, Dance/Electronic;0.727;1;-5.456
Frank Ocean;Pink + White;184516;2016;159.738;hip hop, pop, R&B;0.552;9;-7.45
Rihanna;Only Girl (In The World);235493;2010;125.906;hip hop, pop, R&B;0.716;11;-4.241
The Game;Hate It Or Love It;206400;2005;99.998;hip hop, pop;0.785;9;-4.781
Maroon 5;"Moves Like Jagger - Studio Recording From ""The Voice"" Performance";201493;2010;128.044;pop;0.761;11;-4.459
Tim Berg;Seek Bromance - Avicii’s Vocal Edit;203960;2010;126.026;pop, Dance/Electronic;0.837;11;-2.552
Olly Murs;Up (feat. Demi Lovato);224293;2014;114.948;pop, Dance/Electronic;0.845;9;-4.676
JAY-Z;I Just Wanna Love U (Give It 2 Me);227866;2000;98.631;hip hop;0.922;4;-5.125
Ja Rule;Always On Time;245133;2001;96.673;hip hop, pop, R&B;0.706;5;-6.104
Toni Braxton;He Wasn't Man Enough;261933;2000;88.009;pop, R&B;0.947;11;-1.916
Chamillionaire;Ridin';303053;2005;143.052;hip hop, pop;0.799;8;-4.68
M.O;Bad Vibe;214253;2018;110.009;pop, Dance/Electronic;0.701;10;-4.428
T-Pain;Buy U a Drank (Shawty Snappin') (feat. Yung Joc);227960;2007;80.001;hip hop, pop, R&B;0.55;1;-8.137
T-Pain;Can't Believe It (feat. Lil' Wayne);273826;2008;89.828;hip hop, pop, R&B;0.516;10;-8.869
Sean Paul;She Doesn't Mind;227786;2012;120.015;hip hop, pop;0.776;7;-5.208
Sting;Desert Rose;285960;1999;111.989;rock, pop;0.659;0;-7.92
Jason Derulo;Wiggle (feat. Snoop Dogg);193295;2013;81.946;hip hop, pop;0.621;9;-6.886
Ellie Goulding;Starry Eyed;176613;2010;149.967;pop, rock, Dance/Electronic;0.814;5;-5.346
MNEK;Never Forget You;213427;2015;145.992;Dance/Electronic;0.732;11;-5.728
Faith Evans;I Love You;267160;2001;168.004;hip hop, pop, R&B;0.757;11;-4.062
Madonna;Sorry;281880;2005;132.971;pop;0.877;0;-6.229
Enya;Only Time;218546;2000;82.803;World/Traditional, Folk/Acoustic;0.249;3;-13.744
Gotye;Somebody That I Used To Know;244884;2011;129.054;set();0.527;0;-6.896
Jennifer Lopez;I'm Gonna Be Alright (feat. Nas);172240;2002;93.401;hip hop, pop, R&B;0.69;10;-4.382
Shawn Mendes;There's Nothing Holdin' Me Back;199440;2017;121.996;pop;0.8;2;-4.035
P!nk;Sober;251440;2010;91.066;pop;0.792;6;-4.907
Sunshine Anderson;Heard It All Before;295826;2001;96.951;pop, R&B;0.925;3;-4.209
Coldplay;Hymn for the Weekend;258266;2015;90.027;rock, pop;0.693;0;-6.487
The Chainsmokers;Something Just Like This;247160;2017;103.019;pop, Dance/Electronic;0.635;11;-6.769
P!nk;True Love (feat. Lily Allen);230733;2012;192.205;pop;0.823;9;-4.76
September;Cry for You;209800;2007;130.018;pop, Dance/Electronic;0.881;9;-3.988
Eminem;Berzerk;238746;2013;95.084;hip hop;0.872;11;-4.059
Rita Ora;I Will Never Let You Down;203466;2014;128.011;hip hop, pop, Dance/Electronic;0.801;4;-3.215
Tory Lanez;LUV;228640;2016;95.109;hip hop, pop, R&B;0.541;11;-8.128
Adele;Hello;295502;2015;157.98;pop, R&B;0.431;5;-6.129
Mabel;Don't Call Me Up;178480;2019;98.994;pop, Dance/Electronic;0.881;9;-2.853
Beyoncé;Deja Vu (feat. Jay-Z);240280;2007;105.253;pop, R&B;0.746;7;-4.941
Carrie Underwood;Before He Cheats;199946;2005;147.905;pop, country;0.749;6;-3.318
Miley Cyrus;Can't Be Tamed;168213;2010;116.98;pop;0.91;11;-2.919
OneRepublic;Secrets;224693;2009;148.021;pop;0.764;2;-6.223
Imagine Dragons;Believer;204346;2017;124.982;rock;0.787;10;-4.305
Flo Rida;Club Can't Handle Me (feat. David Guetta);234560;2010;127.966;hip hop, pop;0.869;0;-3.911
Mary Mary;Shackles (Praise You);198346;2000;100.46;R&B;0.834;7;-2.773
B.o.B;Nothin' on You (feat. Bruno Mars);268320;2010;103.993;hip hop, pop;0.853;10;-5.814
Next;Wifey;243666;2004;99.581;hip hop, pop, R&B;0.652;7;-8.693
Timbaland;Apologize;184400;2007;118.016;hip hop, pop, R&B;0.604;8;-6.017
Timbaland;Give It To Me;234026;2007;110.621;hip hop, pop, R&B;0.711;8;-3.904
A Boogie Wit da Hoodie;Swervin (feat. 6ix9ine);189486;2018;93.023;hip hop;0.662;9;-5.239
The Pussycat Dolls;When I Grow Up;245680;2008;118.449;pop, R&B;0.685;11;-5.762
DJ Sammy;Heaven;233600;2002;137.965;pop;0.953;8;-5.601
Dizzee Rascal;Dance Wiv Me - Radio Edit;204093;2011;111.996;hip hop, pop, Dance/Electronic;0.746;11;-4.281
Beyoncé;Sweet Dreams;208066;2008;121.949;pop, R&B;0.825;1;-5.986
Gym Class Heroes;Stereo Hearts (feat. Adam Levine);210960;2011;89.99;hip hop, pop;0.795;9;-3.293
Young T & Bugsey;Strike a Pose (feat. Aitch);214203;2019;137.776;hip hop;0.581;1;-5.801
Ellie Goulding;On My Mind;213445;2015;154.943;pop, rock, Dance/Electronic;0.688;2;-6.607
Ariana Grande;break up with your girlfriend, i'm bored;190440;2019;169.999;pop;0.554;5;-5.29
Tove Lo;Talking Body;238426;2014;119.999;pop, Dance/Electronic;0.761;4;-5.449
Alessia Cara;Here;199453;2015;120.892;pop, R&B;0.799;0;-4.031
Kanye West;Through The Wire;221226;2004;83.089;hip hop;0.739;7;-6.11
Pedro Capó;Calma - Remix;238200;2018;126.899;pop, latin;0.773;11;-4.218
Usher;Hey Daddy (Daddy's Home);224093;2010;95.975;hip hop, pop, R&B;0.698;11;-4.262
Amy Winehouse;Rehab;214946;2006;71.815;R&B;0.558;0;-13.609
Angie Martinez;If I Could Go! (feat. Lil' Mo & Sacario);244466;2019;195.685;pop;0.643;9;-7.486
Eminem;'Till I Collapse;297786;2002;171.447;hip hop;0.847;1;-3.237
Passenger;Let Her Go;252866;2012;75.089;pop;0.538;7;-7.335
Sidney Samson;Riverside;320348;2009;125.997;Dance/Electronic;0.976;1;-2.458
JLS;Everybody in Love;195586;2013;140.022;pop;0.783;5;-5.971
Yo Gotti;Rake It Up (feat. Nicki Minaj);276333;2017;149.953;hip hop, pop;0.444;1;-8.126
Zedd;Stay The Night - Featuring Hayley Williams Of Paramore;217346;2014;127.961;hip hop, pop, Dance/Electronic;0.738;8;-3.109
Chris Brown;Fine China;213666;2013;104.038;hip hop, pop, R&B;0.735;10;-4.758
Jason Derulo;Whatcha Say;221253;2010;144.036;hip hop, pop;0.711;11;-5.507
Keri Hilson;Turnin Me On - Original Dirty;248066;2008;159.873;pop, R&B;0.584;1;-5.09
Ray J;One Wish;337640;2005;127.673;hip hop, pop, R&B;0.652;5;-7.042
One Direction;Perfect;230333;2015;99.933;pop;0.823;2;-5.231
A Boogie Wit da Hoodie;Drowning (feat. Kodak Black);209269;2017;129.014;hip hop;0.81;5;-5.274
The Weeknd;I Feel It Coming;269186;2016;92.987;pop, R&B;0.819;0;-5.946
Scooter;Nessaja;208449;2013;143.048;pop, Dance/Electronic;0.904;2;-6.642
Christina Aguilera;Dirrty (feat. Redman);298853;2002;99.931;pop;0.889;2;-3.073
Garrett Nash;i hate u, i love u (feat. olivia o'brien);251033;2016;92.6;hip hop, pop;0.275;6;-13.4
O.T. Genasis;CoCo;239573;2014;119.906;hip hop, pop;0.628;8;-5.949
Floetry;Say Yes;268373;2002;117.901;hip hop, pop, R&B;0.398;5;-12.932
P!nk;Stupid Girls;197173;2006;100.04;pop;0.886;4;-5.045
LeAnn Rimes;Can't Fight The Moonlight;215506;2001;97.865;pop, country;0.834;6;-6.341
Madonna;Give It 2 Me;287906;2008;127.019;pop;0.954;8;-3.512
Diddy - Dirty Money;Coming Home;238693;2010;168.001;hip hop, pop, R&B;0.839;7;-1.921
Gorillaz;Clint Eastwood;340920;2001;167.953;hip hop;0.694;10;-8.627
Creed;Higher;316733;1999;155.827;pop, rock, metal;0.83;2;-6.254
Maluma;Corazón (feat. Nego do Borel);184720;2018;198.075;latin;0.738;9;-6.073
Snoop Dogg;Young, Wild & Free (feat. Bruno Mars);207333;2011;95.078;hip hop, pop;0.655;0;-6.425
Usher;U Don't Have to Call;269400;2001;100.005;hip hop, pop, R&B;0.568;1;-4.958
Mumford & Sons;Little Lion Man;245173;2009;138.585;Folk/Acoustic, rock, pop;0.492;5;-8.05
The Fratellis;Chelsea Dagger;215306;2006;154.514;rock;0.815;7;-3.14
Duffy;Mercy;219920;2008;129.911;pop, R&B;0.859;0;-3.774
Little Mix;Shout Out to My Ex;246240;2017;126.014;pop;0.747;5;-4.061
The Ting Tings;Shut Up and Let Me Go;171226;2007;107.993;pop, rock, Dance/Electronic;0.927;7;-4.497
Vance Joy;Riptide;204280;2014;101.654;rock, pop;0.731;1;-6.694
Fetty Wap;679 (feat. Remy Boyz);196693;2015;190.05;hip hop, pop;0.717;7;-5.738
Fifth Harmony;Worth It (feat. Kid Ink);224573;2015;99.987;pop;0.765;8;-3.865
DJ Fresh;Hot Right Now (feat. RITA ORA) - Radio Edit;182333;2012;175.017;pop, Dance/Electronic;0.972;4;-1.569
Rudimental;Waiting All Night (feat. Ella Eyre);292586;2013;174.983;pop, Dance/Electronic;0.728;6;-5.358
Jessie J;Domino;231840;2011;126.986;hip hop, pop;0.557;7;-4.568
P!nk;So What;215160;2008;126.019;pop;0.87;11;-3.078
Yung Joc;It's Goin' Down (feat. Nitti);241840;2006;84.003;hip hop, pop;0.577;1;-7.702
Orson;No Tomorrow;167493;2006;124.082;pop;0.624;3;-4.623
Dizzee Rascal;Bonkers;177573;2011;126.127;hip hop, pop, Dance/Electronic;0.977;11;-3.34
J. Cole;Power Trip (feat. Miguel);241160;2013;99.991;hip hop;0.61;1;-7.054
Britney Spears;Me Against the Music (feat. Madonna) - LP Version / Video Mix;223773;2003;120.046;pop;0.836;6;-6.635
Sam Smith;Dancing With A Stranger (with Normani);171029;2019;102.998;pop;0.52;8;-7.513
Nelly;Air Force Ones;304000;2002;164.062;hip hop, pop, R&B;0.459;4;-9.74
Rihanna;Where Have You Been;242680;2011;127.963;hip hop, pop, R&B;0.847;0;-6.34
Mariah Carey;Thank God I Found You (feat. Joe & 98°);257360;1999;129.297;pop, R&B;0.532;10;-5.882
Justin Timberlake;Rock Your Body;267266;2002;100.972;pop;0.714;4;-6.055
Calvin Harris;This Is What You Came For (feat. Rihanna);222160;2016;123.962;hip hop, pop, Dance/Electronic;0.927;9;-2.787
Clean Bandit;Tears (feat. Louisa Johnson);225914;2016;130.037;pop, Dance/Electronic;0.77;5;-3.645
Craig David;Don't Love You No More (I'm Sorry);243986;2005;100.113;hip hop, pop, R&B;0.558;7;-7.076
Selena Gomez & The Scene;Love You Like A Love Song;188453;2011;117.009;pop, Dance/Electronic;0.678;1;-3.87
Beyoncé;Sorry;232560;2016;129.988;pop, R&B;0.598;2;-7.274
James Blunt;1973;280026;2007;123.007;pop;0.668;9;-7.928
One Direction;One Way or Another (Teenage Kicks);157293;2013;162.131;pop;0.867;4;-3.121
Adele;Rolling in the Deep;228093;2011;104.948;pop, R&B;0.77;8;-5.114
Carrie Underwood;Blown Away;240133;2012;136.991;pop, country;0.843;9;-2.569
Ludacris;Southern Hospitality (Featuring Pharrell);300933;2000;95.158;hip hop, pop;0.896;0;-4.719
Chip;Champion (feat. Chris Brown);237293;2011;190.151;hip hop, Dance/Electronic;0.934;6;-2.914
Sam Smith;"Writing's On The Wall - From ""Spectre"" Soundtrack";278987;2015;81.418;pop;0.302;5;-8.19
Usher;Scream;234693;2012;127.992;hip hop, pop, R&B;0.862;7;-5.18
Big Brovaz;Nu Flow;201480;2001;148.062;pop;0.726;7;-8.718
ZAYN;Dusk Till Dawn (feat. Sia) - Radio Edit;239000;2017;180.042;pop, Dance/Electronic;0.437;11;-6.589
Blanco Brown;The Git Up;200593;2019;97.984;hip hop, country;0.678;9;-8.635
PARTYNEXTDOOR;Not Nice;202661;2016;128.06;hip hop, pop, R&B;0.496;0;-9.309
Panic! At The Disco;I Write Sins Not Tragedies;185586;2005;169.961;rock;0.815;9;-4.481
Joel Corry;Sorry;188640;2019;125.002;pop, Dance/Electronic;0.79;8;-4.617
One Direction;Drag Me Down;192120;2015;138.113;pop;0.703;0;-5.672
Nick Lachey;What's Left Of Me;244613;2006;149.965;pop;0.742;7;-5.665
Fedde Le Grand;Put Your Hands Up for Detroit - Radio Edit;150533;2015;127.919;pop, Dance/Electronic;0.923;7;-4.525
X Ambassadors;Renegades;195200;2015;90.052;hip hop, rock, pop;0.862;2;-6.003
Plain White T's;Hey There Delilah;232533;2005;103.971;pop;0.291;2;-10.572
Calvin Harris;Acceptable in the 80's;333680;2007;127.99;hip hop, pop, Dance/Electronic;0.808;7;-5.454
Astrid S;Hurts So Good;208728;2016;120.036;rock, pop, Dance/Electronic;0.589;7;-5.008
Fall Out Boy;My Songs Know What You Did In The Dark (Light Em Up);186826;2013;151.99;rock;0.924;9;-4.341
Iggy Azalea;Black Widow;209423;2014;163.99;hip hop, pop;0.72;11;-3.753
Flo Rida;GDFR (feat. Sage the Gemini & Lookas);190185;2015;145.889;hip hop, pop;0.827;5;-4.036
2Pac;Ghetto Gospel;238053;2004;80.569;hip hop;0.614;5;-5.352
Evanescence;Call Me When You're Sober;214706;2006;93.41;metal;0.883;7;-4.094
Cascada;Evacuate The Dancefloor;207200;2009;127.029;hip hop, pop, Dance/Electronic;0.702;0;-5.87
Sugababes;Round Round;236426;2002;126.607;pop, R&B;0.845;6;-3.802
U2;Vertigo;193520;2004;140.083;World/Traditional, rock;0.819;9;-3.974
The Vamps;Middle Of The Night;174600;2017;130.093;pop;0.749;11;-4.323
Sean Kingston;Eenie Meenie;201946;2010;121.223;hip hop, pop, R&B;0.607;1;-4.168
B2K;Uh Huh;223293;2002;99.699;hip hop, pop, R&B;0.681;2;-4.955
Wale;Bad (feat. Rihanna) - Remix;238826;2013;114.038;hip hop, pop, R&B;0.702;6;-6.594
Illy;Papercuts (feat. Vera Blue);255889;2016;191.863;hip hop, pop, Dance/Electronic;0.618;6;-6.304
Girls Aloud;Something Kinda Ooooh;201590;2012;131.925;pop, Dance/Electronic;0.908;11;-3.918
JAY-Z;Empire State Of Mind;276920;2009;173.585;hip hop;0.956;11;-1.538
Staind;It's Been Awhile;264706;2001;116.529;rock, metal;0.774;6;-4.054
T.I.;Live Your Life;338853;2008;159.841;hip hop, pop;0.862;11;-3.363
will.i.am;#thatPOWER;279506;2013;127.999;hip hop, pop;0.608;6;-6.096
Zedd;I Want You To Know;238800;2015;130.003;hip hop, pop, Dance/Electronic;0.877;9;-2.215
Calvin Harris;I Need Your Love (feat. Ellie Goulding);234506;2012;124.989;hip hop, pop, Dance/Electronic;0.869;8;-5.066
Nickelback;Savin' Me;219320;2005;164.007;rock, metal;0.815;3;-4.088
Migos;Stir Fry;190288;2018;181.982;hip hop, pop;0.816;2;-5.402
Beyoncé;Beautiful Liar;199853;2007;91.977;pop, R&B;0.751;8;-3.74
Eminem;Like Toy Soldiers;296880;2004;79.178;hip hop;0.768;8;-3.489
Cam’ron;Oh Boy;204706;2002;83.014;hip hop, pop;0.767;6;-5.586
Lauv;i'm so tired...;162582;2019;102.211;pop, Dance/Electronic;0.733;11;-7.058
Jessie J;Do It Like A Dude;195240;2011;140.036;hip hop, pop;0.843;2;-3.672
Missy Elliott;Get Ur Freak On;211120;2001;177.87;hip hop, pop, R&B;0.75;0;-9.369
David Guetta;Without You (feat. Usher);208133;2012;127.884;hip hop, pop, Dance/Electronic;0.614;2;-3.727
Ariana Grande;Love Me Harder;236133;2014;98.992;pop;0.714;1;-4.389
Justin Bieber;As Long As You Love Me;229466;2012;139.691;pop;0.873;0;-3.382
Burak Yeter;Tuesday (feat. Danelle Sandoval);241874;2016;99.002;Dance/Electronic;0.639;9;-6.052
Justin Timberlake;Cry Me a River;288333;2002;73.898;pop;0.654;8;-6.582
No Doubt;Hella Good;242586;2001;115.142;rock, pop;0.665;8;-3.954
Erick Sermon;Music (feat. Marvin Gaye);223133;2001;100.01;hip hop, pop;0.466;10;-9.053
Mary J. Blige;One;260466;2005;185.888;pop, R&B;0.874;0;-3.161
Avril Lavigne;Nobody's Home;212413;2004;185.406;pop;0.907;5;-3.66
3OH!3;My First Kiss (feat. Ke$ha);192440;2010;138.021;hip hop, pop, rock;0.889;0;-4.166
Ellie Goulding;"Love Me Like You Do - From ""Fifty Shades Of Grey""";252534;2015;189.857;pop, rock, Dance/Electronic;0.606;8;-6.646
Post Malone;Congratulations;220293;2016;123.146;hip hop;0.804;6;-4.183
Lilly Wood and The Prick;Prayer in C - Robin Schulz Radio Edit;189399;2014;123.002;pop, rock;0.886;9;-5.356
Katy Perry;Teenage Dream;227741;2010;120.011;pop;0.798;10;-4.582
Gnarls Barkley;Crazy;177466;2006;111.97;hip hop, R&B;0.587;8;-4.589
Wiley;Wearing My Rolex - Radio Edit;170480;2008;131.942;hip hop, Dance/Electronic;0.716;1;-6.884
Drake;Jumpman;205879;2015;142.079;hip hop, pop, R&B;0.553;1;-7.286
Dua Lipa;IDGAF;217946;2017;97.028;pop;0.544;7;-5.975
Keri Hilson;Pretty Girl Rock;243920;2010;160.014;pop, R&B;0.87;11;-5.004
Avicii;SOS (feat. Aloe Blacc);157202;2019;100.001;pop, Dance/Electronic;0.645;5;-6.181
Drake;One Dance;173986;2016;103.967;hip hop, pop, R&B;0.625;1;-5.609
Desiigner;Tiimmy Turner;239853;2016;122.803;hip hop, pop;0.725;6;-3.054
50 Cent;21 Questions;224440;2003;92.729;hip hop, pop;0.813;6;-3.846
Kesha;Take It Off;215200;2010;125.036;pop, Dance/Electronic;0.675;5;-5.292
Justin Bieber;Love Yourself;233720;2015;100.418;pop;0.378;4;-9.828
Mary J. Blige;Just Fine;242133;2007;123.021;pop, R&B;0.795;11;-3.61
Jessie J;Bang Bang;199386;2014;150.028;hip hop, pop;0.786;0;-3.417
Sean Paul;I'm Still in Love with You (feat. Sasha);273360;2002;87.002;hip hop, pop;0.666;7;-5.384
D4L;Laffy Taffy;224253;2005;77.499;hip hop, pop;0.439;7;-7.994
Ne-Yo;Miss Independent;232000;2008;171.812;pop, R&B;0.673;1;-5.714
6ix9ine;FEFE;179404;2018;125.978;hip hop;0.387;1;-9.127
112;Peaches & Cream;193093;2001;203.862;hip hop, pop, R&B;0.52;4;-6.255
D12;My Band;298773;2004;120.014;hip hop, pop, rock;0.849;1;-3.383
So Solid Crew;21 Seconds;302826;2001;137.03;Dance/Electronic;0.637;1;-11.072
Fabolous;Into You (feat. Tamia);295773;2003;182.12;hip hop, pop, R&B;0.538;7;-7.886
Aaliyah;Miss You - Main;245240;2002;109.598;hip hop, pop, R&B;0.34;10;-9.867
Bomfunk MC's;Freestyler;306333;2000;163.826;pop;0.922;11;-5.798
Mýa;Case Of The Ex (Whatcha Gonna Do);236906;2000;98.0;pop, R&B;0.688;1;-4.715
Pharrell Williams;Frontin' (feat. Jay-Z) - Club Mix;236506;2003;102.009;hip hop, pop;0.404;9;-5.913
Nelly;My Place;336506;2004;163.153;hip hop, pop, R&B;0.641;1;-4.237
N.E.R.D;She Wants To Move;213786;2004;115.012;hip hop;0.851;5;-4.831
One Direction;Best Song Ever;200106;2013;118.491;pop;0.877;1;-2.986
Mariah Carey;Touch My Body;204733;2008;78.502;pop, R&B;0.665;4;-7.736
Maggie Lindemann;Pretty Girl - Cheat Codes X CADE Remix;193613;2017;121.03;rock, pop;0.868;7;-4.661
Alex & Sierra;Little Do You Know;185200;2014;145.879;pop;0.292;0;-8.554
MAGIC!;Rude;224840;2014;144.033;set();0.758;1;-4.993
Nickelback;Photograph;258920;2005;145.916;rock, metal;0.876;8;-3.756
Taylor Swift;Blank Space;231826;2014;95.997;pop;0.703;5;-5.412
Playboi Carti;Magnolia;181812;2017;162.991;hip hop;0.582;11;-7.323
Katy Perry;I Kissed A Girl;179640;2008;129.996;pop;0.76;5;-3.173
Ricky Martin;She Bangs - English Version;280626;2000;143.866;pop, latin;0.95;1;-4.012
Kevin Gates;2 Phones;240000;2016;121.918;hip hop, pop;0.681;7;-5.267
David Guetta;When Love Takes Over (feat. Kelly Rowland);191000;2010;129.967;hip hop, pop, Dance/Electronic;0.862;11;-4.614
Sam Smith;Too Good At Goodbyes;201000;2017;91.873;pop;0.372;5;-8.237
Nelly;Shake Ya Tailfeather (feat. P. Diddy & Murphy Lee) - 2016 Remaster;293666;2016;87.025;hip hop, pop, R&B;0.808;1;-4.749
Stormzy;Vossi Bop;196266;2019;188.115;hip hop, Dance/Electronic;0.653;8;-6.062
Beyoncé;Best Thing I Never Had;253746;2011;99.099;pop, R&B;0.649;6;-4.062
Chris Brown;Run It! (feat. Juelz Santana);229866;2005;100.969;hip hop, pop, R&B;0.482;1;-6.721
Major Lazer;Light It Up (feat. Nyla & Fuse ODG) - Remix;166138;2015;107.985;hip hop, pop, Dance/Electronic;0.877;9;-3.782
Wayne Wonder;No Letting Go;202013;2003;100.215;hip hop, R&B;0.819;5;-5.656
Justin Timberlake;"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")";236001;2016;113.03;pop;0.83;0;-5.715
