artist;song;duration_ms;year;tempo;genre;energy;key;loudness
Keane;Is It Any Wonder?;186173;2006;129.352;pop;0.955;11;-2.771
Beyoncé;Drunk in Love (feat. Jay-Z);323480;2014;140.03;pop, R&B;0.621;5;-6.902
Blake Shelton;Sure Be Cool If You Did;215720;2013;136.802;country;0.726;11;-4.625
Gorgon City;Ready For Your Love;198880;2014;121.939;pop, Dance/Electronic;0.753;5;-7.038
3OH!3;DONTTRUSTME;192573;2008;130.012;hip hop, pop, rock;0.713;5;-3.742
Black Eyed Peas;Just Can’t Get Enough;219426;2010;94.05;hip hop, pop;0.628;0;-8.685
Anuel AA;China;301714;2019;105.027;latin;0.808;7;-3.702
Shakira;Hips Don't Lie (feat. Wyclef Jean);218093;2005;100.024;pop, latin;0.824;10;-5.892
Jason Derulo;In My Head;199026;2010;110.009;hip hop, pop;0.748;0;-4.15
The Shapeshifters;Lola's Theme - Radio Edit;207066;2004;123.925;Dance/Electronic;0.845;5;-4.612
Blue;If You Come Back;207560;2001;78.375;pop;0.707;10;-4.487
Alesso;Heroes (we could be);209866;2014;125.876;pop, Dance/Electronic;0.754;5;-4.144
Rizzle Kicks;Down With The Trumpets;186851;2011;115.057;hip hop;0.88;4;-4.689
Enrique Iglesias;Not In Love - Radio Mix;223133;2003;117.021;pop, latin;0.885;0;-5.096
Tove Lo;Habits (Stay High);209160;2014;110.003;pop, Dance/Electronic;0.65;5;-3.539
benny blanco;Eastside (with Halsey & Khalid);173799;2018;89.391;hip hop, pop;0.68;6;-7.648
P!nk;Get the Party Started;192533;2001;128.93;pop;0.903;11;-3.267
Yolanda Be Cool;We No Speak Americano (JT Radio Edit);157438;2010;124.996;Dance/Electronic;0.805;6;-5.005
Eminem;When I'm Gone;281320;2005;75.272;hip hop;0.746;10;-5.476
Jeremih;Birthday Sex;226506;2009;60.019;hip hop, pop, R&B;0.523;7;-5.603
AWOLNATION;Sail;259102;2011;119.038;pop, rock;0.435;1;-9.582
Kendrick Lamar;m.A.A.d city;350120;2012;91.048;hip hop;0.729;2;-6.815
Chingy;Holidae In;314400;2003;153.067;hip hop, pop, R&B;0.791;7;-5.909
Selena Gomez;Wolves;197993;2017;124.987;pop;0.804;11;-4.614
Fabolous;Make Me Better;253573;2007;86.491;hip hop, pop, R&B;0.599;11;-6.886
Jeremih;oui;238320;2015;78.521;hip hop, pop, R&B;0.724;5;-3.724
Razorlight;In The Morning;222453;2006;124.191;rock, pop;0.855;4;-3.495
Eric Prydz;Pjanoo - Radio Edit;157432;2008;125.99;pop, Dance/Electronic;0.874;7;-4.949
Chris Brown;Don't Wake Me Up;222306;2012;127.967;hip hop, pop, R&B;0.691;7;-5.197
Aaliyah;More Than A Woman;230346;2002;86.994;hip hop, pop, R&B;0.638;11;-5.803
Kelly Clarkson;Since U Been Gone;188960;2004;130.999;pop, R&B;0.739;9;-5.354
Switchfoot;Meant to Live;201373;2003;151.551;rock, pop;0.903;2;-4.577
Lil Wayne;Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors);243490;2016;169.021;hip hop, pop;0.786;9;-4.378
JAY-Z;Ni**as In Paris;219333;2011;140.022;hip hop;0.858;1;-5.542
Mike Posner;I Took A Pill In Ibiza - Seeb Remix;197933;2016;101.969;hip hop, pop, Dance/Electronic;0.714;7;-6.645
Kanye West;Love Lockdown;270306;2008;119.603;hip hop;0.524;1;-7.67
Blu Cantrell;Hit 'Em Up Style (Oops!);250706;2001;89.976;pop, R&B;0.773;5;-4.983
Little Mix;Wings;219733;2012;114.962;pop;0.875;7;-3.141
David Guetta;Titanium (feat. Sia);245040;2012;126.062;hip hop, pop, Dance/Electronic;0.787;0;-3.674
Mac Miller;Donald Trump;165908;2011;162.994;hip hop;0.901;1;-7.094
Jason Derulo;It Girl;192200;2011;91.993;hip hop, pop;0.718;1;-4.736
Avicii;Levels - Radio Edit;199906;2011;126.04;pop, Dance/Electronic;0.889;1;-5.941
MKTO;Classic;175426;2012;102.071;hip hop, pop;0.791;1;-4.689
Santana;Maria Maria (feat. The Product G&B);261973;1999;97.911;rock, blues, latin;0.601;2;-5.931
Lady Gaga;Shallow;215733;2018;95.799;pop;0.385;7;-6.362
P!nk;"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")";215413;2016;162.958;pop;0.702;7;-5.92
Tyler, The Creator;EARFQUAKE;190066;2019;79.635;hip hop;0.498;9;-8.866
Soulja Boy;Kiss Me Thru The Phone;193386;2008;149.998;hip hop, pop;0.712;7;-3.781
Red Hot Chili Peppers;Otherside;255373;1999;123.229;rock;0.795;0;-3.265
Nickelback;Gotta Be Somebody;252653;2008;115.998;rock, metal;0.89;0;-5.222
Liam Payne;Strip That Down;204502;2017;106.028;pop;0.485;6;-5.595
girl in red;we fell in love in october;184153;2018;129.959;pop, rock, Dance/Electronic;0.366;7;-12.808
James Morrison;You Give Me Something;213173;2006;79.753;pop, R&B;0.688;7;-6.496
Christina Aguilera;Candyman;194213;2006;172.976;pop;0.789;8;-4.713
Holly Valance;Kiss Kiss;204400;2002;97.036;pop, Dance/Electronic;0.717;4;-4.944
Lil Nas X;Old Town Road;113000;2019;135.998;hip hop, pop;0.53;1;-6.112
Faith Hill;There You'll Be;222120;2001;128.98;pop, country;0.511;8;-7.77
Sia;The Greatest (feat. Kendrick Lamar);210226;2016;191.944;pop;0.725;1;-6.127
Sam Feldt;Post Malone (feat. RANI);174444;2019;107.356;pop, Dance/Electronic;0.642;7;-3.87
Kandi;Don't Think I'm Not;243533;2000;134.007;pop, R&B;0.622;11;-8.196
Blue;Sorry Seems To Be The Hardest Word;210066;2004;78.955;pop;0.6;7;-6.814
Katy Perry;Firework;227893;2010;124.071;pop;0.832;8;-5.039
Charlie Puth;How Long;200853;2018;109.974;pop;0.561;1;-5.253
Pitbull;Hotel Room Service;238506;2009;126.003;hip hop, pop, latin;0.599;6;-8.164
Beyoncé;Irreplaceable;227853;2007;175.868;pop, R&B;0.694;7;-4.637
Galantis;No Money;189126;2016;126.01;pop, Dance/Electronic;0.916;6;-4.014
Owl City;Good Time;205933;2012;126.05;rock, pop;0.872;3;-4.269
Of Monsters and Men;Little Talks;266600;2012;102.961;pop, rock, Folk/Acoustic;0.757;1;-5.177
Britney Spears;My Prerogative;213893;2004;111.014;pop;0.938;10;-4.423
Tom Walker;Leave a Light On;185863;2017;68.976;rock, pop;0.624;5;-5.946
Lady Gaga;Paparazzi;208306;2008;114.906;pop;0.692;5;-3.973
Green Day;21 Guns;321093;2009;159.779;rock;0.742;5;-4.939
Lupe Fiasco;Superstar (feat. Matthew Santos);289000;2007;94.812;hip hop, pop;0.822;11;-6.015
Blue;All Rise;223546;2001;97.996;pop;0.737;5;-2.734
